5.728709268	12	13	31	8	8	35	93	1
6.000852819	18	13	37	14	14	41	119	1
5.798709268	14	13	33	14	14	46	108	1
5.560709268	12	14	32	12	12	32	96	1
5.415709268	11	17	34	11	6	27	74	1
6.327709268	16	13	35	0	8	43	116	0
5.480709268	10	14	30	8	8	24	91	1
6.069709268	18	14	38	0	8	50	114	1
6.252492304	15	15	36	5	14	37	111	1
5.991709268	12	18	36	11	12	44	95	1
5.99102993	18	14	38	14	13	44	132	1
5.858415974	14	13	33	0	16	45	102	1
6.003492304	15	9	30	12	12	40	125	1
6.216415974	16	6	28	10	10	24	119	1
6.574709268	16	12	34	12	12	47	118	1
6.171852819	10	19	35	8	6	37	105	1
6.416492304	15	15	36	10	12	39	109	1
5.828709268	11	21	38	8	10	36	72	1
5.901019448	14	9	29	0	12	29	105	1
5.334019448	12	13	31	0	8	34	101	1
6.234709268	14	11	31	0	12	37	123	1
6.693852819	16	14	36	12	12	49	113	1
6.341217084	12	20	38	10	10	36	95	1
6.868492304	16	16	38	12	12	50	145	1
5.991415974	16	10	32	11	11	35	114	1
6.868174376	16	7	29	16	16	32	124	1
6.163709268	13	16	35	8	12	40	93	1
5.768709268	18	11	35	8	8	39	115	1
6.522030825	17	11	34	12	13	41	125	1
5.537709268	18	12	36	16	16	35	128	1
5.991709268	12	16	34	0	8	40	103	1
6.567852819	14	15	35	12	12	41	98	1
7.601317928	13	13	32	12	12	41	108	1
6.214317928	18	14	38	18	18	40	129	1
6.567709268	17	9	32	14	17	42	132	1
5.745709268	13	12	31	0	8	24	92	1
6.310177876	14	8	28	8	12	39	108	0
6.233709268	13	12	31	12	15	35	106	1
5.521177876	16	7	29	12	13	37	105	1
6.069709268	18	12	36	12	12	46	123	1
5.623709268	12	20	38	7	8	48	108	1
6.216415974	17	10	33	8	12	47	122	1
6.323492304	12	20	38	0	12	44	109	1
5.62466668	13	19	38	9	10	40	100	1
6.868162999	18	10	34	15	14	50	125	1
5.972709268	14	15	35	0	12	41	122	1
5.729709268	17	7	30	12	12	34	105	1
6.357852819	16	11	33	12	12	37	94	1
6.135709268	12	16	34	0	12	36	102	1
6.183174376	13	19	38	10	12	47	109	1
6.086709268	12	20	38	12	12	45	105	1
6.134709268	18	13	37	12	12	46	134	1
6.550709268	12	11	29	9	12	32	108	1
6.214852819	16	8	30	11	12	36	104	1
5.218709268	12	11	29	0	12	35	112	1
6.047162999	18	8	32	8	11	49	120	1
6.080852819	16	9	31	16	17	40	124	1
6.309709268	12	11	29	10	12	34	103	1
6.482492304	17	7	30	14	12	45	115	1
5.768709268	12	17	35	8	6	33	96	1
6.868162999	17	13	36	12	12	48	123	1
6.131709268	12	11	29	8	12	34	98	1
6.039852819	12	17	35	8	12	34	96	1
6.086492304	12	20	38	0	12	47	89	1
5.953709268	12	19	37	7	0	43	109	1
5.560499432	12	10	28	11	9	20	93	1
5.580174376	12	15	33	9	12	32	82	1
5.480709268	15	17	38	0	12	45	120	1
6.252415974	12	14	32	0	12	38	122	1
6.670030825	18	9	33	18	12	48	117	1
6.366709268	16	14	36	8	8	44	109	1
6.828709268	18	14	38	16	12	55	114	1
6.629492304	16	9	31	16	12	40	126	1
6.202709268	12	15	33	11	11	45	82	1
5.952492304	16	10	32	9	12	45	119	1
6.109499432	16	13	35	6	12	37	104	1
6.030709268	15	14	35	11	0	49	115	1
6.214852819	12	18	36	12	12	45	97	1
